num,SO2,NO,NO2,NOx,PM10,PM2-5,level
1,0.031,0,0.046,0.047,0.085,0.058,I
2,0.017,0,0.029,0.029,0.057,0.04,I
3,0.026,0,0.026,0.026,0.049,0.034,I
4,0.018,0,0.027,0.027,0.051,0.035,I
5,0.017,0.007,0.037,0.048,0.069,0.04,I
6,0.016,0.003,0.018,0.022,0.064,0.037,I
7,0.023,0.003,0.019,0.023,0.064,0.036,I
8,0.029,0.003,0.022,0.026,0.069,0.04,I
9,0.02,0.002,0.02,0.023,0.071,0.04,I
10,0.015,0.002,0.021,0.023,0.066,0.039,I
11,0.016,0.001,0.019,0.021,0.066,0.04,I
12,0.025,0.001,0.029,0.03,0.068,0.04,I
13,0.025,0.001,0.026,0.028,0.074,0.039,I
14,0.024,0.001,0.022,0.024,0.076,0.044,I
15,0.021,0.001,0.021,0.022,0.08,0.047,I
16,0.02,0.001,0.02,0.02,0.079,0.05,I
17,0.017,0.001,0.019,0.02,0.076,0.05,I
18,0.016,0.001,0.027,0.028,0.083,0.054,I
19,0.017,0,0.033,0.034,0.094,0.063,I
20,0.027,0,0.047,0.047,0.125,0.084,I
21,0.024,0,0.037,0.037,0.118,0.081,I
22,0.026,0,0.035,0.036,0.118,0.08,I
23,0.036,0,0.03,0.03,0.119,0.081,I
24,0.043,0,0.029,0.029,0.125,0.087,I
25,0.05,0,0.025,0.025,0.125,0.088,I
26,0.047,0.001,0.033,0.034,0.207,0.129,I
27,0.046,0.001,0.032,0.033,0.192,0.116,I
28,0.047,0.001,0.034,0.035,0.183,0.114,I
29,0.048,0.001,0.037,0.038,0.184,0.117,I
30,0.05,0.001,0.037,0.038,0.188,0.118,I
31,0.034,0.005,0.044,0.05,0.132,0.067,I
32,0.032,0.004,0.043,0.048,0.126,0.062,I
33,0.027,0.002,0.04,0.043,0.118,0.058,I
34,0.023,0.002,0.036,0.038,0.109,0.051,I
35,0.017,0.001,0.028,0.03,0.098,0.042,I
36,0.015,0.001,0.033,0.034,0.096,0.036,I
37,0.019,0.003,0.031,0.036,0.072,0.019,I
38,0.045,0.001,0.045,0.046,0.133,0.054,I
39,0.021,0,0.048,0.048,0.113,0.064,I
40,0.006,0.003,0.043,0.048,0.085,0.054,I
41,0.007,0.002,0.041,0.044,0.023,0.013,I
42,0.004,0,0.032,0.032,0.028,0.014,I
43,0.006,0,0.028,0.029,0.046,0.016,I
44,0.002,0,0.03,0.031,0.047,0.009,I
45,0.001,0.003,0.036,0.041,0.039,0.016,I
46,0.001,0.009,0.034,0.047,0,0,I
47,0.003,0.005,0.035,0.043,0,0,I
48,0.003,0.004,0.037,0.042,0,0,I
49,0.004,0.001,0.032,0.034,0,0,I
50,0.001,0.001,0.031,0.032,0,0,I
51,0.003,0.002,0.029,0.032,0.001,0,I
52,0.006,0.002,0.027,0.03,0.006,0.002,I
53,0.007,0.002,0.027,0.031,0.016,0.009,I
54,0.009,0.003,0.027,0.032,0.018,0.011,I
55,0.01,0.003,0.024,0.029,0.02,0.012,I
56,0.013,0.002,0.025,0.028,0.019,0.012,I
57,0.012,0.002,0.027,0.03,0.023,0.015,I
58,0.013,0.003,0.022,0.026,0.028,0.018,I
59,0.01,0.002,0.027,0.029,0.031,0.02,I
60,0.01,0.001,0.037,0.039,0.036,0.022,I
61,0.007,0,0.033,0.034,0.037,0.023,I
62,0.007,0,0.037,0.037,0.038,0.024,I
63,0.009,0,0.04,0.04,0.043,0.027,I
64,0.022,0,0.053,0.053,0.07,0.048,II
65,0.019,0,0.052,0.053,0.06,0.04,II
66,0.022,0,0.059,0.06,0.064,0.042,II
67,0.023,0.01,0.085,0.099,0.07,0.044,II
68,0.022,0.012,0.066,0.084,0.073,0.042,II
69,0.023,0.001,0.056,0.058,0.084,0.047,II
70,0.02,0.001,0.08,0.081,0.103,0.057,II
71,0.03,0.007,0.115,0.125,0.141,0.076,II
72,0.09,0.01,0.085,0.1,0.165,0.081,II
73,0.046,0.003,0.053,0.057,0.137,0.069,II
74,0.046,0.002,0.056,0.059,0.126,0.066,II
75,0.056,0.002,0.06,0.063,0.133,0.073,II
76,0.113,0.002,0.068,0.072,0.139,0.077,II
77,0.117,0,0.055,0.055,0.143,0.08,II
78,0.067,0,0.066,0.067,0.158,0.091,II
79,0.078,0,0.099,0.1,0.238,0.137,II
80,0.097,0,0.102,0.102,0.288,0.172,II
81,0.073,0.01,0.119,0.135,0.143,0.076,II
82,0.066,0.014,0.117,0.138,0.146,0.079,II
83,0.149,0.006,0.091,0.101,0.176,0.092,II
84,0.143,0.003,0.069,0.073,0.145,0.077,II
85,0.096,0.001,0.055,0.057,0.134,0.074,II
86,0.054,0.001,0.049,0.05,0.107,0.06,II
87,0.054,0.001,0.079,0.08,0.119,0.065,II
88,0.027,0.005,0.054,0.062,0.089,0.051,II
89,0.02,0,0.056,0.056,0.108,0.072,II
90,0.054,0,0.024,0.024,0.133,0.091,II
91,0.054,0,0.024,0.024,0.136,0.094,II
92,0.057,0,0.025,0.025,0.144,0.1,II
93,0.058,0,0.028,0.029,0.158,0.109,II
94,0.06,0,0.031,0.031,0.17,0.118,II
95,0.065,0,0.037,0.038,0.184,0.127,II
96,0.068,0,0.039,0.039,0.203,0.139,II
97,0.06,0,0.038,0.038,0.222,0.149,II
98,0.052,0.001,0.037,0.039,0.226,0.147,II
99,0.052,0.001,0.04,0.041,0.189,0.12,II
100,0.054,0.001,0.046,0.047,0.187,0.121,II
101,0.056,0,0.053,0.053,0.178,0.116,II
102,0.055,0,0.054,0.055,0.168,0.109,II
103,0.056,0,0.057,0.058,0.173,0.109,II
104,0.055,0,0.063,0.063,0.175,0.111,II
105,0.055,0,0.062,0.063,0.166,0.102,II
